shift_type,architecture,seed,detection_latency_ticks,broken_action_count,readaptation_half_life_ticks,performance_recovery_ratio,action_distribution_js_shift,reward_pre_mean,reward_post_mean,agent_core
fail-prob,A,0,,3,,0.2174757167689008,0.002841344870749574,-0.20715628750622272,-0.16194794389108816,rssm
fail-prob,A,1,,2,512,0.0,0.0007816319016913159,-0.22840629518032074,-0.18897919892333448,rssm
fail-prob,A,2,,2,640,0.19980936970383809,0.002481772585875499,-0.18809379264712334,-0.194083363438646,rssm
fail-prob,B,0,,2,1664,0.495140705134464,0.0035032800839577163,-0.29090630169957876,-0.19246878141226867,rssm
fail-prob,B,1,,2,512,4.007079849912349,0.0005243147289297635,-0.3343438068404794,-0.12325002229772508,rssm
fail-prob,B,2,,1,128,0.6174999626656127,0.002056504569462713,-0.25200004084035754,-0.18184378052440783,rssm
cost-x3,A,0,,1,512,0.7197411263259894,0.003449807350254472,-0.20715628750622272,-0.17736461106687784,rssm
cost-x3,A,1,,0,,0.2346396660717556,0.0011598934021394523,-0.22840629518032074,-0.18377086504672965,rssm
cost-x3,A,2,,0,768,0.0,0.0017549601099332171,-0.18809379264712334,-0.2087187832997491,rssm
cost-x3,B,0,,0,768,0.4705882281203985,0.003235514421896464,-0.29090630169957876,-0.17783336457796395,rssm
cost-x3,B,1,,0,384,10.746903446546108,0.0004737757063689716,-0.3343438068404794,-0.17147919659813246,rssm
cost-x3,B,2,,0,384,1.3474999033869408,0.0019016360143599615,-0.25200004084035754,-0.18637503311038017,rssm
effect-swap-ns,A,0,,1,,0.23991369505833335,0.005000553646153791,-0.20715628750622272,-0.2023125340541204,rssm
effect-swap-ns,A,1,,0,256,0.7585334491888764,0.0013603772829667692,-0.22840629518032074,-0.11298960408506294,rssm
effect-swap-ns,A,2,,0,,0.20438516047443975,0.0024312011159034665,-0.18809379264712334,-0.21288544995089373,rssm
effect-swap-ns,B,0,,0,,0.0,0.003029810436393034,-0.29090630169957876,-0.15809377826129398,rssm
effect-swap-ns,B,1,,0,128,7.292036107753588,0.0004942078292420417,-0.3343438068404794,-0.12772918973738948,rssm
effect-swap-ns,B,2,,0,384,1.0049999822815912,0.002012245452213155,-0.25200004084035754,-0.13403127326940498,rssm
