seed,arm,region,reduction,predicted_gain
0,agenda,"(3, 2)",-7.986754321286251e-05,9.508134276981686e-05
0,agenda,"(1, 2)",-1.9295516216918072e-07,8.237036467993848e-05
0,agenda,"(2, 2)",-3.8991636958801126e-05,7.752201166232282e-05
0,agenda,"(0, 2)",-2.9487030891080734e-05,6.533447897998577e-05
0,random,"(1, 0)",-0.00011167183240306459,
0,random,"(1, 3)",-7.72518299830457e-05,
0,random,"(2, 3)",1.7240006450770654e-05,
0,random,"(2, 0)",-4.8075809091743435e-06,
0,greedy,"(2, 1)",-8.777341766593355e-05,
0,greedy,"(0, 0)",-4.602029609183472e-05,
0,greedy,"(0, 2)",-3.6047952663567325e-05,
0,greedy,"(2, 3)",6.070633793974118e-06,
1,agenda,"(1, 3)",-8.548333102630245e-05,4.1646383123529315e-05
1,agenda,"(2, 3)",2.0730023000699787e-05,3.826794188263309e-05
1,agenda,"(0, 2)",-8.107187265219779e-06,3.3786363301960955e-05
1,agenda,"(0, 1)",3.283797640405179e-05,2.581082536624239e-05
1,random,"(2, 3)",-5.233507221823349e-05,
1,random,"(1, 3)",-1.580564680302309e-05,
1,random,"(3, 3)",9.894324304898168e-05,
1,random,"(1, 2)",-1.826862474748242e-05,
1,greedy,"(2, 3)",-1.2356425738996942e-05,
1,greedy,"(2, 1)",-5.4914657893176714e-05,
1,greedy,"(3, 3)",0.00010512883697325984,
1,greedy,"(1, 3)",-9.924213777089288e-06,
2,agenda,"(3, 2)",-0.00010240482030591622,8.1616222945374e-05
2,agenda,"(1, 2)",3.648787646347453e-06,7.185142862857172e-05
2,agenda,"(3, 1)",-1.2645974897572594e-05,6.3339275878048e-05
2,agenda,"(1, 3)",-4.4036148917964775e-05,1.900926329485035e-05
2,random,"(1, 0)",-9.61791358551838e-05,
2,random,"(2, 2)",-2.872002692634449e-05,
2,random,"(0, 1)",-4.183733997504329e-05,
2,random,"(0, 3)",-5.5493140179249954e-05,
2,greedy,"(2, 2)",-7.316518652563297e-05,
2,greedy,"(3, 3)",-5.663347029541101e-05,
2,greedy,"(2, 3)",-8.651259930856115e-05,
2,greedy,"(1, 3)",-7.000408206497214e-05,
